Gene1,Gene2,Correlation
ENSG00000022267.19,ENSG00000211445.12,0.8849845377765402
ENSG00000211679.2,ENSG00000211677.2,0.8847943578846005
ENSG00000211937.3,ENSG00000211964.3,0.8847766744460674
ENSG00000167588.13,ENSG00000175445.17,0.8847439869848632
ENSG00000211947.2,ENSG00000211949.3,0.8845312066967768
ENSG00000211966.2,ENSG00000211941.3,0.8844624420839768
ENSG00000196616.14,ENSG00000175445.17,0.8843677034343024
ENSG00000211648.2,ENSG00000211677.2,0.8843344579078898
ENSG00000166819.12,ENSG00000004776.13,0.8843132411073581
ENSG00000270550.1,ENSG00000224373.3,0.8841713944841904
ENSG00000211949.3,ENSG00000243290.3,0.8841105346414055
ENSG00000211943.2,ENSG00000224650.2,0.8839588049017507
ENSG00000187608.10,ENSG00000165949.12,0.8838557778179335
ENSG00000211949.3,ENSG00000211941.3,0.8838329980444675
ENSG00000211947.2,ENSG00000211938.2,0.8837851792384878
ENSG00000211966.2,ENSG00000239951.1,0.8837739383512958
ENSG00000211966.2,ENSG00000211660.3,0.8837652682972365
ENSG00000224373.3,ENSG00000211648.2,0.8836335030885034
ENSG00000101938.15,ENSG00000165269.13,0.8836040467606999
ENSG00000211648.2,ENSG00000211660.3,0.8835794071569809
ENSG00000165269.13,ENSG00000211445.12,0.8835354466065097
ENSG00000224373.3,ENSG00000211938.2,0.8833482186270908
ENSG00000138207.14,ENSG00000287148.1,0.8832535996542664
ENSG00000181092.10,ENSG00000138207.14,0.8832089664472175
ENSG00000123689.6,ENSG00000135917.16,0.8831845827888126
ENSG00000123500.10,ENSG00000099953.10,0.8831387303321978
ENSG00000173432.12,ENSG00000134339.9,0.8831022092761482
ENSG00000211966.2,ENSG00000224650.2,0.8830041026564471
ENSG00000224373.3,ENSG00000211640.4,0.8829054938940277
ENSG00000170323.9,ENSG00000135917.16,0.8827210007618085
ENSG00000174697.5,ENSG00000004776.13,0.8826133125889595
ENSG00000287148.1,ENSG00000168079.17,0.8825390206529216
ENSG00000022267.19,ENSG00000135917.16,0.8823812893922955
ENSG00000174697.5,ENSG00000196616.14,0.8823301843365422
ENSG00000211637.2,ENSG00000211651.3,0.882270236336185
ENSG00000211941.3,ENSG00000244437.1,0.8820846537909665
ENSG00000168079.17,ENSG00000165269.13,0.8819539798244269
ENSG00000167588.13,ENSG00000135218.19,0.8817879856997286
ENSG00000211592.8,ENSG00000211679.2,0.8817516126136768
ENSG00000161649.13,ENSG00000163815.6,0.8815369127928138
ENSG00000170323.9,ENSG00000101938.15,0.8814190772402145
