Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10,Latent_11,Latent_12,Latent_13,Latent_14,Latent_15,Latent_16,Latent_17,Latent_18,Latent_19,Latent_20,Latent_21,Latent_22,Latent_23,Latent_24,Latent_25,Latent_26,Latent_27,Latent_28,Latent_29,Latent_30,Latent_31,Latent_32,PAM50_subtype
1.989511,0.0,0.032379083,0.0,3.1801786,0.0,3.538448,0.53386664,0.0,3.7594748,1.4405357,1.5820181,0.0,0.084825814,2.174175,0.0,0.0,0.99587655,0.0,0.0498919,0.052959226,0.85090834,0.0,0.0,0.0,0.0,0.0,0.262895,0.048321515,0.6877322,0.0,0.0,LumA
0.07313992,0.0,0.0,0.0,2.9131386,0.0,0.96929574,0.0,0.0,2.0648909,1.0065315,0.4464866,0.0,0.0,1.767036,0.0,0.0,0.65972716,0.8471512,0.0,0.0,0.0,0.2589348,0.0,0.0,0.0,0.0,1.1927242,0.66752815,0.8616415,0.0,0.5452412,LumB
0.1734545,0.0,0.0,0.73496807,6.2913394,0.14643364,1.2979276,0.60640836,0.0,2.1374972,0.4272388,1.5076724,0.0,0.6699094,0.0,0.0,0.0,1.0095598,0.23527113,0.0,0.0,0.77043116,0.0,0.0,0.0,0.0,0.0,0.0,3.3350208,0.0,0.0,0.28812262,LumB
0.0,1.4894348,0.0,0.66329575,0.0,1.3254701,0.0,0.0,0.030709133,0.0,0.0,0.0,0.0,0.0,0.19371352,0.0,0.0,0.0,1.8219906,0.0,0.0,0.0,0.05946718,0.0,0.36259392,0.16698657,0.02775307,2.8374789,0.0,1.6139165,0.78424835,0.033713773,LumB
0.0,0.7721651,0.0,0.8217277,0.0,0.6029959,2.3461018,0.0,0.0,0.0,1.687135,0.0,0.0,0.022000741,0.0,0.0,0.0,1.2507706,1.6316102,0.0,0.04553448,0.0,0.6787985,0.9891387,0.0,0.5374776,0.0,0.0,0.12836348,0.73719645,0.0,0.0,Her2
0.6979166,0.0,0.275036,0.0,5.3286867,0.0,0.0,0.0,0.0,3.4809895,0.31900573,1.0760024,0.0,0.2942295,4.3916073,0.0,0.0,2.815848,1.3018329,0.0,0.0,0.017855212,0.0,0.0,0.0,0.0,0.0,0.16461019,2.6000078,0.8321706,0.0,1.1635798,Unknown
0.0,1.2946393,0.01473137,0.9839589,0.064029746,0.0,0.50869656,0.0,0.04268142,0.0,0.35511902,0.0,0.53881705,0.0,0.0,0.0,0.0,0.2591358,0.092761815,0.0,0.0,0.65781057,0.09520604,1.0382236,0.127053,0.47112104,0.0,0.0,0.0,0.35166556,0.79458773,0.0,LumB
2.5444193,0.0,0.1986456,0.0,0.0,0.0,0.0,1.3254119,0.0,0.40520835,0.0,0.0,0.0,0.9885065,0.0,1.2541186,1.6572608,1.0986364,0.0,1.9892788,2.8229034,0.0,0.4724779,0.0,1.4036202,0.0,0.03936504,0.0,0.0,0.0,0.0,1.2919496,Basal
0.0,0.0,0.0,0.0,0.0,1.2808499,0.0,0.0,0.0,0.0,0.0,0.0,0.064880915,0.0,0.0,0.054195695,0.0,0.0,1.4707031,0.15034032,0.0,0.0,0.03778463,0.0,0.0,0.0,0.78445387,1.1930217,0.0,0.0,2.1542408,0.0,LumA
0.0,0.0,0.0,0.47515246,0.0,1.2262428,0.0,0.0,0.7272951,0.0,0.0,0.07897522,0.0,0.0,0.0,0.7028587,0.0,0.0,2.2535646,0.48484606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2331054,0.0,0.0,0.8047246,0.0,LumA
1.4313595,0.0,0.11651875,0.0,0.0,0.0,0.0,1.2731817,0.12547392,0.0,0.0,0.0,0.0,0.324228,0.0,2.3743145,1.0574912,0.3332231,0.0,0.6311013,1.5341669,0.33188593,0.6306512,1.9033644,0.065434895,0.0,0.0,0.0,0.0,0.0,0.0,0.2182855,Basal
0.0,1.1858699,0.17721978,0.4354211,0.033824995,0.0,0.64866745,0.0,0.0,0.26774776,0.81048286,0.0,0.30383834,0.0,0.0,0.0,0.0,0.44444838,0.0,0.0,0.0,0.6043795,0.10983159,0.03315056,0.31367776,0.5962156,0.0,0.0,0.0,0.90085137,0.57293475,0.027238667,LumB
0.0,2.5808728,0.56762785,0.0,0.0,0.0,0.0,0.0,0.0,1.1551832,0.0,0.0,2.2612398,0.60802144,0.0,0.0,0.0,1.1958127,0.0,0.0,0.0,2.2753348,0.0,0.0,1.021508,0.65697265,0.60476816,0.0,0.0,0.51970124,1.9326133,0.0,Her2
0.0,1.4358523,0.74412525,0.0,0.0,0.9498706,0.0,0.0,0.75668186,0.0,0.0,0.0,0.0,0.0,0.0,0.8055045,0.037803452,0.0,0.28136253,0.0,0.0,0.0,0.17713226,0.5025746,0.0,0.0,0.0,0.0,0.0,0.88451135,1.0330172,0.0,LumA
0.54361784,0.099544145,0.15517084,0.3048534,0.0,0.0,0.30472434,0.0,0.40472585,0.0,0.17554636,0.097718164,0.53392786,0.0,0.0,0.49291158,0.1209794,0.4356646,0.0,0.0,0.43914223,1.2090087,0.11703071,1.3932531,0.112699464,0.0,0.0,0.0,0.0,0.24776518,0.07383173,0.29744458,Her2
1.9134388,0.19906902,2.342126,0.0,0.0,0.0,0.0,0.89222515,0.0,1.1104567,0.0,0.019111034,0.0,1.0610033,0.08896213,0.0,1.8319808,0.017728187,0.0,1.1059672,0.0,0.50437886,0.0,0.0,0.33607712,0.0,1.5291709,0.0,0.0,0.42584246,0.0,0.0,Basal
0.0,0.32347557,0.0,0.0,0.0,0.0,0.0,0.0,0.5389656,0.33409464,0.0,0.0,0.0,0.0,0.8650017,0.3075653,0.0,0.0,1.423307,0.0,0.0,0.0,0.0,0.0,0.42955977,1.7315717,0.0,1.6272991,0.0,0.0,0.21209282,0.0,LumA
3.0275216,0.0,0.0,0.0,0.0,0.0,0.29066718,1.6910664,0.0991999,0.0,0.0,0.73147655,0.29983014,0.0,0.0,0.91812557,1.5533339,2.5715222,0.0,0.53878593,2.0936518,1.504628,0.45267254,0.25661826,0.0,0.0,0.9920326,0.0,0.2246918,0.0,0.0,1.0039657,Basal
